EmployeeNumber,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,ExpectedSalary,CompRatio,CompSegment,PercentSalaryHike,PerformanceRating,StockOptionLevel,StockMultiplier,OverTime,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,IncentiveEligible,SimulatedPayout,RiskScore,AttritionRisk,Attrition,AttritionFlag
1,41,Female,Sales,Sales Executive,2,Life Sciences,Single,5993,5511.321816591122,1.0873979418075075,Fair,11,3,0,1.0,Yes,6,4,0,5,8,8,4,2,1,1,0,Travel_Rarely,1,0,0.0,25,Medium,Yes,1
2,49,Male,Research & Development,Research Scientist,1,Life Sciences,Married,5130,5554.693455152108,0.9235433136713971,Fair,23,4,1,1.1,No,10,7,1,7,10,1,2,3,3,4,3,Travel_Frequently,8,1,15574.680000000002,15,Stable,No,0
4,37,Male,Research & Development,Laboratory Technician,2,Other,Single,2090,4505.673655466713,0.4638596045375396,Underpaid,15,3,0,1.0,Yes,0,0,0,0,7,6,3,4,3,2,3,Travel_Rarely,2,0,0.0,55,High,Yes,1
5,33,Female,Research & Development,Research Scientist,4,Life Sciences,Married,2909,4548.624129729047,0.6395340474468449,Underpaid,11,3,0,1.0,Yes,8,7,3,0,8,1,3,4,3,3,3,Travel_Frequently,3,0,0.0,55,High,No,0
7,27,Male,Research & Development,Laboratory Technician,1,Medical,Married,3468,4156.339829441571,0.8343879813277796,Underpaid,12,3,1,1.1,No,2,2,2,2,6,9,2,1,3,4,3,Travel_Rarely,2,1,5493.312000000001,45,Medium,No,0
8,32,Male,Research & Development,Laboratory Technician,2,Life Sciences,Single,3068,5001.322757530771,0.6134377141287954,Underpaid,13,3,0,1.0,No,7,7,3,6,8,0,4,4,2,3,2,Travel_Frequently,2,1,4786.08,30,Medium,No,0
10,59,Female,Research & Development,Laboratory Technician,3,Medical,Married,2670,6457.097979590127,0.41349844906170713,Underpaid,20,4,3,1.3,Yes,1,0,0,0,12,4,1,3,2,1,3,Travel_Rarely,3,0,0.0,70,High,No,0
11,30,Male,Research & Development,Laboratory Technician,1,Life Sciences,Divorced,2693,1683.5504564981497,1.5995956578584194,Overpaid,22,4,1,1.1,No,1,0,0,0,1,1,3,4,3,2,2,Travel_Rarely,24,0,0.0,0,Stable,No,0
12,38,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,9526,5491.495066843216,1.7346824287463156,Overpaid,21,4,0,1.0,No,9,7,1,8,10,0,3,4,3,2,2,Travel_Frequently,23,0,0.0,0,Stable,No,0
13,36,Male,Research & Development,Healthcare Representative,3,Medical,Married,5237,9128.734178877114,0.5736830427287325,Underpaid,13,3,2,1.2,No,7,7,7,7,17,6,3,3,2,2,3,Travel_Rarely,27,1,9803.664,50,High,No,0
